)bR	ombres
paZ	pages
padi	paddy
paela	paellas
paf	paf
pagaj	pagaïe
paj	pailles
paj5	païens
pajEt	paillettes
pajas	paillasses
pak	pâques
pak(bo	paquebots
pakE	paquets
pakotij	pacotilles
pakt	pactes
paktOl	pactoles
pal	pâles
palE	palets
palas	palaces
palm	palmes
palpe	palpés
palpite	palpité
paluRd	palourdes
pan	paonne
panaS	panaches
panike	paniqués
pano	panos
panoRama	panoramas
panopli	panoplies
pap	papes
pap(Ras	paperasses
papE	papet
papa	papas
papaRadzi	paparazzis
papi	papys
papiRys	papyrus
papote	papoté
pas(REl	passerelles
pasaZe	passagers
pase	passés
pasibl	passibles
pasif	passifs
pasj@	patients
pasjonEl	passionnels
pasjone	passionnés
paspOR	passeports
past9R	pasteurs
pastEk	pastèques
pastij	pastilles
pastis	pastis
paswaR	passoires
pat	pâtes
pat(l5	patelins
pat5	patins
patR)	patrons
patRi	patries
patRimwan	patrimoines
patRuj	patrouilles
patS	patchs
patat	patates
patetik	pathétiques
patiR	pâtirent
patinwaR	patinoires
patis(Ri	pâtisseries
patisje	pâtissiers
patjo	patios
patoZe	pataugé
patyR	pâtures
pavane	pavané
pave	pavés
pavij)	pavillons
peNe	peignés
peRiR	périrent
peRifeRi	périphéries
peRil	périls
peRime	périmés
peRipl	périples
peRiskOp	périscopes
peRjOd	périodes
peRyvj5	péruviens
peSe	pêchés
peaZ	péages
pedal	pédales
pei	pays
peiz@	paysans
peizaZ	paysages
pekinwa	pékinois
pelikyl	pellicules
pen)bR	pénombres
penalti	penalty
pene	pennées
penetRe	pénétrés
peni	penny
peniS	péniches
penibl	pénibles
penisilin	pénicilline
penit@s	pénitences
penit@sjER	pénitentiaires
pep5	pépins
pepER	pépères
pepe	pépés
pepit	pépites
petR5	pétrins
petROl	pétroles
petRiR	pétrirent
petRifje	pétrifiés
petaR	pétards
petal	pétales
petas	pétasses
pezeta	pesetas
pezibl	paisibles
pezo	peso
piN)	pignons
piR	pires
piRamid	pyramides
piRana	piranhas
piRat	pirates
piRsiG	piercings
piRwEt	pirouettes
piSE	pichets
piZ	piges
piZ)	pigeons
piZama	pyjamas
pidza	pizzas
pif	pif
pijaR	pillards
pike	piqués
pikole	picolé
pikyR	piqûres
pil	piles
pilOt	pilotes
pilyl	pilules
pin	pines
pink	pink
pip	pipes
pipi	pipis
pipo	pipo
pis@li	pissenlits
pise	pissée
pisin	piscines
pist)	pistons
pistolE	pistolets
pisu	pissou
pit)	pythons
pitR	pitres
pitbul	pitbulls
pitje	pitiés
pitoREsk	pittoresques
pivote	pivoté
pj)	pions
pj)se	pioncé
pj2	pieux
pj9vR	pieuvres
pjER	pierres
pjEZ	pièges
pjEs	pièces
pjEtR	piètres
pjOS	pioches
pjadza	piazza
pjaf	piafs
pjano	pianos
pjastR	piastres
pje	pieds
pjeZe	piégés
pjetine	piétinés
pjoSe	piochées
pjol	piaules
pjonje	pionniers
pl)	plombs
pl)Z	plonges
pl)Z)	plongeons
pl)b	plombes
pl2Re	pleurer
pl2vwaR	pleuvoir
pl5	pleins
pl5dR	plaindre
pl5t	plinthes
pl8i	pluies
pl9R	pleurs
pl@	plants
pl@S	planches
pl@k	planques
pl@t	plantes
plE	plet
plER	plaire
plEn	pleines
plEz@	plaisanté
pla	plats
plaZ	plages
plaf)	plafonds
plak	plaques
plakaR	placards
planEt	planètes
plane	plané
planiG	plannings
plase	placés
plasma	plasma
plastik	plastiques
platR	plâtres
platin	platines
plato	plateaux
plede	plaidée
pleziR	plaisirs
pli	plis
plozibl	plausibles
ply	plût
plym	plumes
plyto	plutôt
pn2	pneus
po	pots
poEm	poèmes
poEt	poètes
poN)	pognon
poRte	porter
podjOm	podiums
poezi	poésies
pokER	pokers
pol	pôles
pol8e	pollués
polEn	pollens
poliR	polir
polis)	polissons
politEs	politesses
politik	politiques
poljo	polios
polo	polos
polonE	polonais
pom	paumes
pomad	pommades
ponE	poneys
popjER	paupières
popylas	populace
posede	possédés
posibl	possibles
pot5	potins
pot@s	potences
pot@sjEl	potentiels
potaZ	potages
potiR)	potirons
povR	pauvres
poze	posés
pozitif	positifs
ps2do	pseudos
psi	psys
psiko	psycho
psom	psaumes
pu	poux
puR	pour
puRSase	pourchassés
puRbwaR	pourboires
puRityR	pourritures
puRkwa	pourquoi
puRpR	pourpres
puRs8ivR	poursuivre
puRs@taZ	pourcentages
puRvwaR	pourvoir
pubEl	poubelles
pudR	poudres
pudiG	puddings
pul	poules
pul5	poulains
puliS	pouliches
pulp	poulpes
pum)	poumons
pup	poupe
pus5	poussins
puse	poussés
pusjER	poussières
putR	poutres
putS	putsch
puvwaR	pouvoirs
pw5	points
pw5dR	poindre
pw5t	pointes
pw5tyR	pointures
pwa	pouah
pwaN	poignes
pwaNaR	poignards
pwaR	poires
pwaRo	poireaux
pwal	poêles
pwaly	poilus
pwas)	poissons
pwatRin	poitrines
pwavR	poivres
pwavR)	poivrons
pwavRo	poivrots
pwaz)	poisons
py	pût
pyR	purs
pyRZ	purges
pybERte	puberté
pyblije	publiés
pyblik	publiques
pyblisite	publicités
pyd9R	pudeurs
pyl	pulls
pylveRize	pulvérisés
pyma	pumas
pynEz	punaises
pyniR	punir
pypij	pupilles
pyso	puceaux
pyt	pûtes
pyt5	putains
pytRid	putrides
pytwa	putois
s(R5	serins
s(R5g	seringues
s(Riz	cerises
s(g)	seconds
s(g)d	secondes
s(kRE	secrets
s(kRetER	secrétaires
s(kuRiR	secourir
s(kus	secousses
s(kwe	secoués
s(l)	selon
s(mEl	semelles
s(mEn	semaines
s(mEstR	semestres
s(me	semés
s)	sont
s)Z	songes
s)bR	sombres
s)d	sondes
s5	seins
s5Z	singes
s5bOl	symboles
s5bjOt	symbiotes
s5dRom	syndromes
s5dika	syndicats
s5foni	symphonies
s5gle	cinglés
s5gylje	singuliers
s5kRonize	synchronisés
s5pa	sympas
s5pl	simples
s5ptom	symptômes
s5sER	sincères
s5tEz	synthèses
s5tije	scintillé
s5tte	saintetés
s5tyR	ceintures
s89R	sueurs
s8av	suaves
s8e	suées
s8edwa	suédois
s8is	suisses
s8isid	suicides
s8it	suites
s8ivR	suivre
s8ivi	suivît
s9R	soeurs
s9Rf	surfes
s9j	seuils
s9l	seuls
s@	sent
s@ba	samba
s@ble	semblé
s@dR	sandres
s@gl	sangles
s@glote	sanglotés
s@kt8ER	sanctuaires
s@s8El	sensuels
s@sas	sensass
s@se	sensés
s@sibl	sensibles
s@sy	sangsues
s@syR	censures
s@t@s	sentences
s@tR	centres
s@tRal	centrales
s@tiR	sentirent
s@tim	sentîmes
s@tinEl	sentinelles
s@tje	sentiez
s@tyRj)	centurions
sEN9R	seigneurs
sER	sert
sERZ	serges
sERZ@	sergents
sERb	serbes
sERk9j	cercueils
sERkl	cercles
sERm)	sermons
sERm@	serments
sERmone	sermonnée
sERn	cernes
sERp@	serpents
sERpijER	serpillières
sERt	certes
sERt5	certains
sERtaw	sertão
sERvEl	cervelles
sERviR	servirent
sERvil	serviles
sERvjEt	serviettes
sERvo	cerveaux
sEk	secs
sEkt	sectes
sEl	sels
sEn	senne
sEpt@bR	septembre
sEptR	sceptres
sEptik	septique
sEs	cesses
sEt	sets
sEv	sèves
sEz)	saisons
sOR	sorts
sORdid	sordides
sORnEt	sornettes
sORsje	sorciers
sORt	sortes
sORtiR	sortirent
sObR	sobres
sOfi	sophie
sOl	sols
sOld	soldes
sOlda	soldât
sOm	sommes
sa	çà
saRdin	sardines
saRkasm	sarcasmes
saRkofaZ	sarcophages
saZ	sages
sabR	sabres
saba	sabbats
sabl	sables
sabo	sabots
sadik	sadiques
safaRi	safaris
saib	sahibs
sak	saquent
sakRe	sacrés
sakRifis	sacrifices
sakRilEZ	sacrilèges
sakaZe	saccagés
sakade	saccadés
saksofOn	saxophones
sal	sals
sal(te	saletés
sal)	salons
sal8e	salués
salER	salaires
salad	salades
salami	salamis
saliR	salir
saliv	salives
salsa	salsa
salun	saloons
salv	salves
saly	saluts
sam(di	samedis
samuRaj	samurai
sap5	sapins
sape	sapés
sat5	satins
satane	satanés
satanik	sataniques
satelit	satellites
satisfE	satisfaits
satyRe	saturés
sav)	savons
sav9R	saveurs
savuRe	savourés
savwaR	savoirs
sbiR	sbires
se@s	séances
seNOR	señor
seNe	saignés
seROm	sérums
seRe	serrés
seReal	céréales
seRemoni	cérémonies
seRenad	sérénades
seRi	séries
seRyR	serrures
seS(REs	sécheresses
seSe	séchés
seZuR	séjours
seZuRne	séjourné
sed8iR	séduire
sedatif	sédatifs
sede	cédés
sek@s	séquences
sekEl	séquelles
sekEstRe	séquestrés
seks8El	sexuels
seksi	sexy
sekt9R	secteurs
seky	sécu
sekyRize	sécurisés
selEbR	célèbres
selEst	célestes
sele	seller
seleRa	scélérats
selebRe	célébrés
seliba	célibat
selje	sellier
selyl	cellules
seminER	séminaires
sena	sénat
senaRjo	scénarios
senat9R	sénateurs
senil	séniles
sepaRe	séparés
sepyltyR	sépultures
sese	cessé
sesj)	sessions
sevER	sévères
seviR	sévir
sezaRjEn	césariennes
sezam	sésame
seziR	saisirent
sf5ks	sphinx
sfER	sphères
siN	signes
siNOR	signor
siNal	signales
siNatyR	signatures
siNifje	signifiées
siR	sires
siREn	sirènes
siRk	cirques
siRk)siR	circoncire
siRk)st@s	circonstances
siRk8i	circuits
siRkyle	circulé
siRo	syro
siRoko	sirocco
sibl	cibles
sidR	cidre
sida	sidas
sideRe	sidérés
sifilis	syphilis
sifle	sifflés
sigON	cigognes
sigaR	cigares
sigal	cigales
sikatRis	cicatrices
sikl	sicle
siklOp	cyclopes
siklo	cyclo
siklon	cyclones
sil	sils
sil5dR	cylindres
sil@s	silences
silab	syllabes
silikOn	silicone
silo	silos
silwEt	silhouettes
sim	cymes
sim(tjER	cimetières
simagRe	simagrées
simetRi	symétries
similER	similaires
simyle	simulés
sin)	sinon
sinema	cinémas
sing9l	single
sinik	cyniques
sinistR	sinistres
sinys	sinus
sisilj5	siciliens
sistEm	systèmes
sit	sites
sit8e	situés
sitERn	citernes
sitR)	citrons
sitRuj	citrouilles
sitad5	citadins
sito	sitôt
sitwaj5	citoyens
sivil	civils
sivjER	civières
sizaj	cisailles
sizo	ciseaux
sj9R	sieurs
sjERZ	cierges
sjERa	sierras
sjEZ	sièges
sjEkl	siècles
sjEl	ciels
sjEst	siestes
sjamwa	siamois
sjanyR	cyanure
sje	siéent
sjeZe	siégé
sk(lEt	squelettes
sk@dal	scandales
skEtS	sketchs
skOR	scores
skORpj)	scorpions
skOtS	scotchs
skROb	scrub
skRabl	scrabble
skRib	scribes
skRipt	scripts
skRypyl	scrupules
skRyte	scrutés
skaRabe	scarabées
skalp	scalps
skalpEl	scalpels
skanER	scanners
ski	skis
skup	scoops
skut	scouts
skut9R	scooters
skwaR	squares
skwat	squatte
skwat9R	squatteurs
skylte	sculptés
skyltyR	sculptures
slip	slips
slog@	slogans
smOkiG	smokings
snOb	snobs
snife	sniffées
so	sots
soRe	saurez
soZa	soja
soda	sodas
sodomi	sodomie
sof	saufs
sofa	sofas
sofistike	sophistiqués
sol	saules
solEj	soleils
solanEl	solennels
solid	solides
solidER	solidaires
solisite	sollicités
solitER	solitaires
solo	solos
som)	sommons
somE	sommets
somEj	sommeils
some	sommés
sonE	sonnets
sonOR	sonores
sona	sonnât
sonaR	sonars
sonat	sonates
sone	sonnés
sono	sonos
sopRano	sopranos
sosis	saucisses
sosis)	saucissons
sosjete	sociétés
sot	sautes
sot(REl	sauterelles
sotiz	sottises
sov(gaRd	sauvegardes
sovaZ	sauvages
sove	sauvés
sovjEt	soviets
sozi	sosies
sp)sOR	sponsors
sp)soRize	sponsorisés
sp)tane	spontanés
spERm	spermes
spEktR	spectres
spEktakl	spectacles
spOR	sports
spOt	spots
spREj	sprays
spa	spas
spaRadRa	sparadraps
spageti	spaghettis
spajd9R	spider
spasm	spasmes
spekyle	spéculé
spesimEn	spécimens
spesjal	spéciales
spiRal	spirales
spiRit8El	spirituels
spid	speedes
spik9R	speakers
spitS	speech
spl@did	splendides
st@d	stands
st@daR	standards
st@diG	standing
stEk	steaks
stElER	stellaires
stEp	steppes
stOR	stores
stOk	stocks
stOp	stops
stREs	stressent
stRatEZ	stratèges
stRiG	strings
stRikt	stricts
stRip	strip
stRyktyR	structures
staR	stars
staRt9R	starter
staZ	stages
stabl	stables
stad	stades
staf	staffs
statistik	statistiques
staty	statuts
staz	stase
steReo	stéréos
steRil	stériles
steRoid	stéroïdes
stil	styles
stilo	stylos
stimyle	stimulés
stipyle	stipulés
stoke	stockés
ston	stones
stope	stoppés
stydjo	studios
styp9R	stupeur
stypid	stupides
su	soûls
suR	sourds
suRiR	sourires
suRnwa	sournois
suRsi	sourcils
suS	souches
suSi	sushi
subREt	soubrettes
sud5	soudains
sude	soudés
sudwaje	soudoyés
sudyR	soudures
sufR	soufre
sufR@s	souffrances
sufl	souffles
sukup	soucoupes
sul	soûlent
sul(ve	soulevés
sulaR	soûlards
sulaZe	soulagés
suliNe	soulignés
sumEtR	soumettre
sumi	soumît
sup	soupes
supiR	soupirs
supl	souples
sups)	soupçons
susi	soucis
susje	souciés
sustRER	soustraire
sut	soutes
sut(niR	soutenir
sutER5	souterrains
sutan	soutanes
sutiRe	soutirées
sutif	soutifs
sutj5	soutient
suv(R5	souverains
suv(niR	souvenirs
suv@	souvent
sw5	soins
swE	souhaits
swa	soit
swaNe	soignés
swaR	soirs
swaf	soifs
swete	souhaités
sy	sût
syR	sûrs
syRZiR	surgirent
syRfas	surfaces
syRkRwa	surcroîts
syRm(ne	surmenés
syRm)te	surmontés
syRnome	surnommés
syRsi	sursis
syRtu	surtouts
syRv(niR	survenir
syRveje	surveillés
syRvivR	survivre
syRvole	survolées
syZE	sujets
sybiR	subirent
syblim	sublimes
sybmERZe	submergés
sybv(niR	subvenir
sybziste	subsisté
syd	sud
syfiR	suffirent
syfoke	suffoqués
sygZeRe	suggérés
syk)be	succombé
sykR	sucres
syksE	succès
syksede	succédées
sykyRsal	succursales
sykyl@	succulents
sylt@	sultans
sypER	supers
sypERb	superbes
sypERfly	superflus
sypERvize	supervisés
sypOR	supports
sypREm	suprêmes
sypRime	supprimés
sypeRj9R	supérieurs
syplije	suppliés
syplis	supplices
sypoRt9R	supporter
sypoRte	supporter
sypoze	supposés
sypst@s	substances
sypstit8e	substitués
sypstity	substituts
syptil	subtils
sys)	suçons
sysEptibl	susceptibles
syse	sucés
sysite	suscités
sysp@	suspens
sytyR	sutures
t(naj	tenailles
t(nas	tenaces
t(niR	tenir
t(ny	tenus
t)	tons
t)b	tombes
t)bo	tombeaux
t)bola	tombolas
t)dR	tondre
t)g	tongs
t5	tînt
t5bR	timbres
t5dR	teindre
t5tyR	teintures
t8e	tués
t8ijo	tuyaux
t8il	tuiles
t@	tends
t@Zibl	tangibles
t@buR	tambours
t@d)	tendons
t@d@s	tendances
t@dR	tendres
t@dy	tendus
t@go	tangos
t@k	tanks
t@p	tempes
t@p)	tampons
t@pEt	tempêtes
t@peRatyR	températures
t@pl	temples
t@pone	tamponnés
t@sj)	tensions
t@t	tentes
t@takyl	tentacules
t@tativ	tentatives
t@tin	tantines
t@tinE	tantinet
t@to	tantôt
t@tuz	tantouzes
tEN	teignes
tER	terres
tER5	terrains
tER9R	terreurs
tERm	thermes
tERmine	terminés
tERn	ternes
tERsjo	tertio
tEknik	techniques
tEkst	textes
tEl	tél
tEm	thèmes
tEmpo	tempos
tEst	tests
tEstikyl	testicules
tEstosteROn	testostérones
tEz	thèses
tOR	torts
tORS	torches
tORS)	torchons
tORdR	tordre
tORdy	tordus
tORnad	tornades
tORpij	torpilles
tORtija	tortillas
tORtije	tortillés
tORty	tortus
tORtyR	tortures
tOk	toques
tOksik	toxiques
tOksin	toxines
tOm	tommes
tOn	tonnes
tR)	troncs
tR)S	tronches
tR)bOn	trombones
tR)p	trompes
tR5bale	trimbalés
tR5ke	trinqué
tR8i	truies
tR8it	truites
tR9j	treuils
tR9st	trusts
tR@S	tranches
tR@bl	trembles
tR@kil	tranquilles
tR@p	trempes
tR@polin	trampoline
tR@s	transes
tR@sfER	transfèrent
tR@spOR	transports
tR@spaR@	transparents
tR@spiRe	transpiré
tR@t	trente
tR@zistOR	transistors
tR@zit	transits
tRE	très
tRER	traire
tREfl	trèfles
tREj	treilles
tREn	traînes
tREno	traîneaux
tREt	traites
tREtR	traîtres
tREv	trêves
tROk	troque
tROl	trolls
tRaZE	trajets
tRaZedi	tragédies
tRad8iR	traduire
tRafik	trafiques
tRaiR	trahirent
tRaiz)	trahisons
tRak	traques
tRak(naR	traquenards
tRaka	traqua
tRam	trams
tRap	trappes
tRapEz	trapèzes
tRas	traces
tRav(lo	travelos
tRavER	travers
tRavEsti	travestit
tRavaj	travailles
tRebySe	trébuché
tRene	traînés
tRepje	trépieds
tResajiR	tressaillirent
tRese	tressés
tRetRiz	traîtrises
tRete	traités
tRezOR	trésors
tRi	tris
tRiS	triches
tRibOR	tribord
tRiby	tributs
tRibyn	tribunes
tRibynal	tribunal
tRij)f	triomphes
tRijaZ	triage
tRijad	triades
tRiko	tricots
tRime	trimé
tRip	trips
tRipl	triples
tRipo	tripots
tRistEs	tristesses
tRo	trots
tRofe	trophées
tRoke	troqués
tRoma	traumas
tRon	trônes
tRotwaR	trottoirs
tRubl	troubles
tRudyk	trouduc
tRue	troués
tRuj	trouilles
tRup	troupes
tRus	trousses
tRuso	trousseaux
tRuvaj	trouvailles
tRuve	trouvés
tRyf	truffes
tRyke	truqués
tRyside	trucidés
tSalEndZ	challenge
ta	tas
taR	tares
taRde	tardée
taRiR	tarirent
taRif	tarifs
taRo	tarots
taRt	tartes
taS	tâches
taba	tabacs
tabase	tabassés
tablo	tableaux
tabu	tabous
tabuRE	tabourets
taf	tafs
taj	thaïs
tak	tacs
takine	taquinée
tako	tacots
takse	taxés
taksi	taxis
takt	tact
tal)	talons
tal@	talents
talisman	talismans
talk	talc
tane	tannés
tanjER	tanières
tap	tapes
tap5	tapins
tapi	tapit
tapine	tapinée
tapote	tapoté
tase	tassés
tasityRn	taciturnes
tata	tâta
tatwe	tatoués
tavERn	tavernes
te	tés
teRapi	thérapies
teatR	théâtres
tejER	théières
tekila	tequila
telEks	télexes
telEskOp	télescopes
teleSaRZe	téléchargés
telefOn	téléphones
televizj)	télévisions
temeRER	téméraires
tenEbR	ténèbres
tenOR	ténors
tenis	tennis
teoRi	théories
teoloZi	théologies
tet)	tétons
tety	têtus
tiR	tirs
tiR(liR	tirelires
tiR@	tyrans
tiRad	tirades
tiRwaR	tiroirs
tiZ	tiges
tibja	tibias
tif	tifs
tigR	tigres
tij9l	tilleuls
tik	tiques
tikE	tiquait
tilt	tilts
tim	teams
timid	timides
tip	types
tise	tissés
tisy	tissus
tit@	titans
titR	titres
titan	titane
titi	titis
titybe	titubé
tizan	tisanes
tjER	tiers
tjERse	tiercés
tjEd	tièdes
to	tôt
toRaks	thorax
toReRo	toreros
toRid	torrides
toRo	taureaux
todi	taudis
tofy	tofu
tokaR	toquards
toke	toqués
tol	tôles
tolaR	tolar
toleRe	tolérés
toma	toma
tomat	tomates
tonER	tonnerres
tone	tonné
tono	tonneaux
top	taupes
tost	toasts
totEm	totems
total	totales
tsaR	tzars
tu	toux
tuR	tours
tuRbij)	tourbillons
tuRm@	tourments
tuRm@t	tourmentes
tuRn	tournes
tuRnwa	tournois
tuRnyR	tournures
tuRt	tourtes
tuRt2Ro	tourtereau
tuS	touches
tuZuR	toujours
tubib	toubibs
tuf	touffes
tupE	toupets
tupi	toupies
tuse	toussé
tutu	toutous
twa	toits
twal	toiles
twalEt	toilettes
ty	tût
tyRbin	turbines
tyRi	tueries
tyRk	turques
tyb	tubes
tybERkyloz	tuberculose
tyba	tubas
tylip	tulipes
tym9R	tumeurs
tymylt	tumultes
tyn	tunes
tynEl	tunnels
tyt9R	tuteurs
uRa	hourras
uRag@	ouragans
uRs	ourses
uRs)	oursons
ubli	oublis
ut	août
utR	outres
utRaZe	outragés
uti	outils
uvER	ouverts
uvRije	ouvriers
v(dEt	vedettes
v(luR	velours
v(ly	velus
v(n5	venins
v(niR	venir
v(ny	venus
v2	voeux
v5	vînt
v5kR	vaincre
v5ky	vaincus
v5tEn	vingtaines
v9f	veufs
v@	vents
v@Ze	vengés
v@d@Z	vendanges
v@dEta	vendettas
v@dR	vendre
v@dR(di	vendredis
v@dal	vandales
v@piR	vampires
v@t	ventes
vER	verts
vERZe	vergés
vERb	verbes
vERdikt	verdicts
vERdyR	verdures
vERmEj	vermeils
vERmin	vermines
vERmut	vermouths
vERniR	vernir
vERse	versés
vERsj)	versions
vERtEbR	vertèbres
vERtiZ	vertiges
vERty	vertus
vEj	veilles
vEkse	vexés
vEn	veines
vEnaR	veinards
vEsEl	vaisselles
vEspa	vespas
vEst	vestes
vEst)	vestons
vEstiZ	vestiges
vEstjER	vestiaires
vOdka	vodkas
vOl	vols
vOltiZe	voltigé
vOt	votes
vRE	vrais
vRak	vrac
vaRisEl	varicelle
vaRjOl	variole
vaRje	variés
vaS	vaches
vag	vagues
vagab)	vagabonds
vaj@s	vaillance
vak@s	vacances
vakaRm	vacarmes
vaksine	vaccinés
val)	valons
valE	valets
vale	vallées
valid	valides
valiz	valises
vals	valses
valv	valves
valwaR	valoir
van	vans
vanij	vanille
vap	vaps
vap9R	vapeurs
vasal	vassale
vasije	vacillé
vast	vastes
veR@da	vérandas
veRifje	vérifiés
veRu	verrous
veRy	verrues
veikyl	véhicules
veje	veillés
veky	vécût
veneRe	vénérés
vesi	vessies
veteR@	vétérans
veteRinER	vétérinaires
vetiR	vêtir
veto	veto
vety	vêtus
vezikyl	vésicules
vi	vît
viN	vignes
viRe	virés
viRgyl	virgules
viRil	virils
viRt8El	virtuels
viRys	virus
viZil	vigiles
vibRe	vibrées
vid	vides
vid@Z	vidanges
video	vidéos
vif	vifs
vig9R	vigueurs
viktim	victimes
viktwaR	victoires
vil	vils
vilaZ	villages
villa	villas
vinEgR	vinaigres
vipER	vipères
vise	vissés
vit	vite
vitR	vitres
vitamin	vitamines
vivR	vivres
viz)	visons
viz8El	visuels
viza	visas
vizaZ	visages
vize	visés
vizit	visites
vizj)	visions
vj@d	viandes
vjERZ	vierges
vjOl	viols
vjol)	violons
vjol@	violents
vjolE	violets
vjole	violés
vo	vos
voRj5	vauriens
vodu	vodous
voge	vogué
vokabylER	vocabulaires
vokal	vocales
vol)te	volontés
vol)tje	volontiers
volE	volley
volaZ	volages
volaj	volailles
vole	volés
volym	volumes
volypte	voluptés
vomiR	vomirent
votR	vôtres
votuR	vautours
vulwaR	vouloirs
vuly	voulût
vut	voûtes
vwa	voua
vwaR	voire
vwajaZ	voyages
vwaju	voyous
vwal	voiles
vwala	voilà
vwasi	voici
vwatyR	voitures
vwaz5	voisins
vwe	voués
vy	vus
vylgER	vulgaires
wE	ouais
wEb	web
wEst	ouest
wazo	oiseaux
wiR	ouïr
wiski	whiskys
yRZ@	urgents
yRanjOm	uranium
yRb5	urbains
yRin	urines
yRle	hurlés
yRn	urnes
yRtikER	urticaire
yblo	hublots
ylsER	ulcères
yltRa	ultras
yltim	ultimes
yltimatOm	ultimatums
ym5	humains
ym9R	humeurs
ymid	humides
ymilje	humiliés
ymuR	humour
yn	unes
ynanim	unanimes
yniR	unirent
ynivER	univers
ynivERsite	universités
ys	us
yst@sil	ustensiles
yt	ut
yteRys	utérus
ytil	utiles
ytopi	utopies
yzaZ	usages
yze	usés
yzin	usines
yzyR	usures
yzyRpe	usurpés
z)bi	zombis
z5g	zincs
zEbR	zèbres
zEl	zèles
zEn	zens
zOb	zobs
zape	zappé
zeRo	zéros
zele	zélés
zib(lin	zibelines
ziguje	zigouillés
zizi	zizis
zloti	zlotys
zon	zones
zum	zooms
